,drugName,condition,Side_Effect,effectiveness
2104,Tobramycin,"Conjunctivitis, Bacterial","pain, redness",64.96%
2105,Tobrex,"Conjunctivitis, Bacterial","swelling, redness",75.44%
2106,Tocilizumab,Rheumatoid Arthritis,,46.54%
2107,Tofacitinib,Rheumatoid Arthritis,"Arthritis, fever, diarrhea, numbness, flare, tired, headache, nausea, fatigue, pain, dizziness, swelling, stiffness, Headache, ache",42.95%
2108,Tofranil,"Depression, Interstitial Cystitis, Night Terrors, Panic Disorde, Primary Nocturnal Enuresis","sleepy, nausea, panic, vertigo, pain, dizziness, ache, suicidal, increased appetite",57.00%
2109,Tolak,Actinic Keratosis,"delivery, redness",34.15%
2110,Tolmetin,"Gout, Acute, Rheumatoid Arthritis",Pain,61.00%
2111,Tolnaftate,"Tinea Cruris, Tinea Versicol",fungal rash,53.17%
2112,Tolterodine,"Overactive Bladde, Urinary Incontinence","bladder spasm, sleepy, fever, Dizziness, diarrhea, spasm, headache, fatigue, traction, pain, dizziness, constipation, stress, Headache, ache, worry",48.04%
2113,Topical Anesthetic Dental Gel,Oral and Dental Conditions,"cough, nausea, wheezing",0.98%
2114,Topiragen,Seizure Prevention,stress,67.71%
2115,Topiramate,"Bipolar Disorde, Borderline Personality Disorde, Bulimia, Diabetic Peripheral Neuropathy, Migraine Prevention, Not Listed / Othe, Obesity, Seizure Prevention, Seizures, Smoking Cessation, Tourette's Syndrome, Trigeminal Neuralgia, Vulvodynia, ibromyalgia","anger, fall, tired, vomiting, heartburn, pain management, exhaustion, surgery, fever, tunnel vision, halo vision, scar tissue, tremor, diarrhea, unhappy, unable to concentrate, bite, fatigue, wound, Anxiety, weight gain, suicidal behaviour, terrify, gastric bypass, difficulty, dizzy spells, frail, flushing, worry, cold sweat, elderly, neuropathic pain, Acidosis, personality change, hypomania, clumsiness, focal seizures, redness, mania, dependence, adverse effect, constipation, sweat, hunger, nervousness, flat affect, drowsiness, suicidal, numbness, excruciating pain, complicated migraine, blood alcohol, purging, divorced, ache, crying, colonoscopy, binge eating, muscle mass, swelling, Mood swings, feeling suicidal, sleep paralysis, Pain, seizure, muscle twitch, visual disturbance, aversion, depressed mood, gag, wheezing, stuffy nose, migraine with aura, overweight, pain, Tremor, Headache, x-ray, aura, Migraine, smoker, nausea, cyclic vomiting syndrome, cough, vertigo, weight control, stiffness, underweight, withdraw, shortness of breath, Nausea, extreme exhaustion, Aura, food craving, sleepy, acupuncture, agitation, myalgia, blood test, panic, elation, screaming, stress, paresthesia, Surgery, massage, nightmare, dizziness, anorexia, hysterectomy, moody, stinging sensation, palpitation, spasm, night sweat, flare, headache, birth control, bedridden",47.90%
2116,Toprol-XL,"1 Atrial Fibrillation, Heart Failure, High Blood Pressure, Left Ventricular Dysfunction, Mitral Valve Prolapse, Supraventricular Tachycardia","sleeplessness, fall, tired, sweat, nervousness, drowsiness, surgery, Tachycardia, fever, numbness, panic, pain, heavy feeling, aura, ache, fatigue, weight gain, retch, cough, difficulty, dizziness, swelling, Supraventricular tachycardia, palpitation, headache, redness",51.95%
2117,Torsemide,Edema,"pain, diarrhea, Hypertension",38.34%
2118,Toujeo Solostar,"Diabetes, Type 1, Diabetes, Type 2",,43.49%
2119,Toviaz,"Overactive Bladde, Urinary Incontinence","tired, hoarseness, heartburn, constipation, pain, paresis, tremor, spina bifida, bladder spasm, nausea, nightmare, weight gain, difficulty, Insomnia, dizziness, worry, moody, spasm, shortness of breath, dry throat, redness",39.41%
2120,Tradjenta,"1 Diabetes, Type 2","sleepy, fever, diarrhea, fall, headache, nausea, vomiting, weight gain, cough, pain, dizziness, stiffness, ache, Diabetes mellitus, chill",26.72%
2121,Tramadol,"Anxiety, Back Pain, Chronic Pain, Depression, Not Listed / Othe, Obsessive Compulsive Disorde, Opiate Withdrawal, Pain, Restless Legs Syndrome, Rheumatoid Arthritis, Syringomyelia, Vulvodynia, ibromyalgia","anger, fall, tired, vomiting, pain management, exhaustion, surgery, fever, scar tissue, nausea and vomiting, tremor, off label use, Arthritis, diarrhea, unhappy, drug abuser, fatigue, wound, Anxiety, blackout, weight gain, retch, difficulty, dizzy spells, pain back, flushing, Colitis, worry, cold sweat, autoimmune disorder, neuropathic pain, lightheadedness, Lethargy, dependence, chest tightness, sleeplessness, moan, constipation, sweat, hunger, nervousness, impatience, drowsiness, suicidal, Tachycardia, numbness, excruciating pain, unwell, Cystitis, hip surgery, ache, Vomiting, crying, wrist surgery, clammy skin, swelling, negative thoughts, delivery, sports injury, boredom, breast feeding, groggy, Pain, seizure, breakthrough pain, pain neck, drug screen, anxiety disorder, sciatica, withdrawal syndrome, pain, burning sensation, adverse reaction, Depression, drug interaction, lichen sclerosus, electric shock, tinnitus, incoherent, hangover, smoker, bone disorder, nausea, heart valve replacement, cough, vertigo, Aneurysm, stiffness, withdraw, shortness of breath, Nausea, lumbar spinal stenosis, welt, lethargy, food craving, sleepy, acupuncture, bed rest, developmental delay, Sciatica, agitation, myalgia, panic, elation, screaming, stress, massage, yawning, nightmare, syringomyelia, dizziness, Constipation, chill, hysterectomy, palpitation, spasm, flare, headache, low back pain, opiates",52.77%
2122,Trandolapril / verapamil,Not Listed / Othe,,74.63%
2123,Tranexamic acid,"Bleeding Disorde, Melasma, Menorrhagia, Menstrual Disorders","anger, tired, vomiting, endometrial ablation, biopsy, surgery, hysteroscopy, numbness, transfusion, elation, pain, Headache, tubal ligation, ache, diarrhea, nightmare, dizziness, stiffness, dizzy spells, worry, moody, hysterectomy, headache, birth control, redness",55.66%
2124,Transderm-Scop,"Motion Sickness, Nausea/Vomiting","sleepy, fall, tired, vomiting, gurgle, drowsiness, surgery, Dizziness, pain, nausea and vomiting, tubal ligation, ache, scratch, nausea, retch, vertigo, dizziness, Scar, withdraw, headache, dry throat, welt, redness",48.84%
2125,Tranxene,"Anxiety, Seizure Prevention","panic, seizure",70.72%
2126,Tranxene SD,Anxiety,"panic, worry",78.64%
2127,Tranylcypromine,Depression,"Drug interaction, Fear, seizure, headache, blackout, screaming, feeling hopeless, drug interaction, ache",43.32%
2128,Trastuzumab,"Breast Cance, Breast Cancer, Adjuvant, Breast Cancer, Metastatic, Salivary Gland Cance","mastectomy, ejection fraction, salivary gland cancer, headache, shortness of breath, nausea, fatigue, dizziness, biopsy, ache",69.95%
2129,Travatan,"Glaucoma, Open Angle, Intraocular Hypertension",,73.90%
2130,Travoprost,"Glaucoma, Open Angle, Intraocular Hypertension",,73.93%
2131,Trazodone,"Anxiety, Depression, Headache, Insomnia, Major Depressive Disorde, Not Listed / Othe, Reflex Sympathetic Dystrophy Syndrome, Sedation, ibromyalgia","anger, fall, tired, vomiting, heartburn, exhaustion, surgery, fever, laziness, tremor, snoring, diarrhea, fatigue, blackout, weight gain, terrify, retch, difficulty, dizzy spells, worry, cold sweat, alcoholic, lightheadedness, Fall, sneeze, redness, mania, dependence, chronic fatigue syndrome, adverse effect, hypotension, sleeplessness, alcoholism, constipation, sweat, nervousness, no adverse effect, drowsiness, suicidal, numbness, divorced, ache, crying, school refusal, swelling, rale, sleep paralysis, illogical thinking, groggy, Pain, Stress, anxiety disorder, painful erection, stuffy nose, pain, erectile dysfunction, Headache, drug interaction, overdose, incoherent, rebound effect, hangover, nausea, anhedonia, cough, vertigo, Insomnia, stiffness, frustration, withdraw, Nausea, sleepy, agitation, staring, myalgia, blood test, panic, elation, screaming, stress, heavy feeling, hernia repair, chapped lips, yawning, nightmare, dizziness, hysterectomy, palpitation, Scar, spasm, night sweat, flare, headache, hostility",50.27%
2132,Trelstar LA,Prostate Cance,"nausea, sweat, weight gain",58.02%
2133,Trental,Intermittent Claudication,"pain, spasm",60.84%
2134,Tresiba,"Diabetes, Type 1, Diabetes, Type 2","adverse effect, anger, tired, headache, nausea, fatigue, weight gain, endoscopy, cough, colonoscopy, dawn phenomenon, dizziness, ache, exhaustion",40.11%
2135,Tretin-X,Acne,,41.65%
2136,Tretinoin,"Acne, Acute Promyelocytic Leukemia, Photoaging of the Skin","fall, tired, scab, Stress, sweat, keratosis pilaris, stress at work, traction, purging, pain, burning sensation, stress, ache, wound, nightmare, dizziness, swelling, worry, stinging sensation, Scar, flare, birth control, pustule, redness",57.52%
2137,Treximet, Migraine,"nerve block, sleepy, tired, vomiting, heartburn, sweat, drowsiness, suicidal, pain, stress, heavy feeling, aura, ache, Migraine, hangover, diarrhea, crying, nausea, fatigue, dizziness, stiffness, flushing, palpitation, headache, shortness of breath, Pain, neck stiffness",63.96%
2138,Tri-Estarylla,"Acne, Birth Control","food craving, crying, tired, headache, nausea, fatigue, birth control, pain, swelling, ache",25.44%
2139,Tri-Lo-Estarylla,Birth Control,"Vomiting, breast feeding, headache, Anxiety, ache, birth control, Nausea, Headache, Fatigue",4.34%
2140,Tri-Luma,Melasma,"fall, tired, Dermatitis, nightmare, birth control, ache, worry",64.26%
2141,Triamcinolone,"Allergic Reactions, Allergic Rhinitis, Alopecia, Aphthous Ulce, Asthma, Atopic Dermatitis, Dermatitis, Eczema, Gouty Arthritis, Iritis, Lichen Planus, Neuritis, Not Listed / Othe, Osteoarthritis, Pityriasis rubra pilaris, Psoriasis, Rheumatoid Arthritis, Sarcoidosis, Systemic Lupus Erythematosus","sleepy, fall, Psoriasis, sweat, agitation, myalgia, surgery, fever, elation, pain, adverse reaction, ache, Arthritis, scratch, diarrhea, bite, wound, fatigue, cough, guttate psoriasis, dizziness, swelling, worry, Scar, spasm, flare, open wound, Pain",63.91%
2142,Triamterene,Edema,"pain, swelling, surgery",35.98%
2143,Triazolam,"Insomnia, Not Listed / Othe","sleepy, hangover, fall, tired, panic, groggy, stress, drowsiness",69.96%
2144,Trifluoperazine,"Anxiety, Schizophrenia","mania, affective disorder",66.67%
2145,Trihexyphenidyl,"Cerebral Spasticity, Extrapyramidal Reaction, Not Listed / Othe, Parkinson's Disease","Dystonia, spasm, headache, clumsiness, pain, akinesia, tremor, stress, stiffness, ache",57.27%
2146,Trileptal,"1  3 Anxiety, Bipolar Disorde, Seizures, Trigeminal Neuralgia","mania, stress ulcer, seizure, anger, hyponatremia, fall, tired, pain management, constipation, hunger, surgery, fever, blood test, Epilepsy, pain, kidney infection, stress, x-ray, aura, ache, delusion, nausea, fatigue, weight gain, dizziness, worry, headache, hostility, birth control, hypomania",59.02%
2147,Trilipix,"High Cholesterol, Hypertriglyceridemia","seizure, sleeplessness, fall, pain, dizziness, ache",35.93%
2148,Trilisate,Pain,,57.63%
2149,Trimethobenzamide,Nausea/Vomiting,"nausea and vomiting, nausea, pain, vomiting",62.13%
2150,Trimethoprim,"Bladder Infection, Urinary Tract Infection","headache, panic, nausea, pain, ache, surgery",28.49%
2151,Triple Antibiotic,11</span> users found this comment helpful.,,51.50%
2152,Triprolidine,Allergies,"fever, hangover",100.00%
2153,Triptorelin,Prostate Cance,,67.02%
2154,Triumeq,HIV Infection,"sleeplessness, fall, tired, vomiting, heartburn, fever, blood test, pain, nausea and vomiting, adverse reaction, ache, nausea, fatigue, nightmare, difficulty, viral load, dizziness, stiffness, malaise, worry, headache, Pain, bedridden, redness",62.59%
2155,Trocaine,Tonsillitis/Pharyngitis,pain,59.25%
2156,Trokendi XR,Seizure Prevention,"seizure, sedentary, suicidal",74.10%
2157,Trolamine salicylate,"Back Pain, Bursitis, Osteoarthritis, Pain, Raynaud's Syndrome, Tendonitis","massage, Arthritis, adhesion, flare, ache, retch, difficulty, pain, myalgia, Surgery",59.99%
2158,Tronolane Anesthetic for Hemorrhoids,Hemorrhoids,pain,83.50%
2159,Tropicamide,Pupillary Dilation,burning sensation,28.21%
2160,Trospium,"Overactive Bladde, Urinary Incontinence","pain, panic",42.92%
2161,Trulicity,"Diabetes, Type 2","sleepy, adverse effect, anger, fall, tired, Fasting, flatulence, vomiting, heartburn, constipation, sweat, hunger, projectile vomiting, gag, Fatigue, exhaustion, surgery, stent placement, fever, blood test, numbness, choke, Abdominal pain, panic, elation, intensive care, unwell, traction, pain, nausea and vomiting, erectile dysfunction, Headache, Chills, drug interaction, ache, massage, Vomiting, Ketosis, scratch, diarrhea, unhappy, crying, nausea, muscle tightness, bite, Tinnitus, nightmare, weight gain, fatigue, cough, colonoscopy, difficulty, retch, dizziness, flushing, delivery, malaise, chill, cold sweat, palpitation, spasm, Muscle twitching, headache, Pain, Nausea, insulin resistance, bedridden, welt, lethargy, redness",40.82%
2162,Trusopt,"Glaucoma, Open Angle",cough,58.25%
2163,Truvada,"HIV Infection, Pre-Exposure Prophylaxis","nausea, vomiting, viral load, lipase, prophylaxis",69.13%
2164,Tryptophan,"Depression, Insomnia, Premenstrual Dysphoric Disorde","anger, sleepy",63.12%
2165,Tudorza Pressair,"COPD, COPD, Maintenance","cough, wheezing",72.40%
2166,Tums Regular Strength,"GERD, Indigestion, Stomach Ulce",heartburn,53.25%
2167,Tums Smoothies,Indigestion,,7.00%
2168,Turmeric,"Herbal Supplementation, Not Listed / Othe","flare, myalgia, pain, fibroma",68.62%
2169,Tussigon,Cough,cough,70.00%
2170,Tylenol,"Pain, Sciatica, eve","fever, sciatica, headache, pain, ache",53.12%
2171,Tylenol 8 Hour,Pain,pain,73.25%
2172,Tylenol Arthritis Pain,Pain,pain,93.00%
2173,Tyvaso,Pulmonary Hypertension,"adverse effect, hoarseness, headache, fatigue, cough, pulmonary arterial hypertension, ache",60.05%
2174,Ubiquinone,Dietary Supplementation,tired,78.48%
2175,Uceris,"Ulcerative Colitis, Ulcerative Colitis, Active","diarrhea, flare, headache, nausea, shortness of breath, vomiting, pain, swelling, Colitis, ache",47.03%
2176,Ulipristal,"Emergency Contraception, Uterine Fibroids","sleepy, anger, tired, vomiting, heartburn, panic, elation, pregnancy test, pain, stress, ache, diarrhea, nausea, fatigue, dizziness, worry, chill, moody, abortion, headache, Nausea, redness",51.62%
2177,Ultram,"1 1 1 3 Back Pain, Chronic Pain, Pain, Restless Legs Syndrome, Rheumatoid Arthritis, ibromyalgia","mania, sleepy, seizure, sleeplessness, breakthrough pain, anger, fall, tired, vomiting, constipation, sweat, agitation, myalgia, surgery, adhesion, drowsiness, scar tissue, pain, erectile dysfunction, Headache, drug interaction, hip surgery, ache, Arthritis, nausea, fatigue, blackout, difficulty, dizziness, arthrodesis, tooth infection, moody, cold sweat, palpitation, spasm, withdraw, flare, alcoholic, headache, Somnolence, Pain, low back pain, opiates, Disability, redness",46.65%
2178,Ultram ER,"Back Pain, Chronic Pain, Pain, Restless Legs Syndrome, ibromyalgia","nerve block, dependence, sciatica, nausea, accident at work, difficulty, pain, myalgia, dizziness, Sciatica, opiates, drowsiness, surgery",56.69%
2179,Ultram ODT,"4 Back Pain, Chronic Pain, Pain","withdraw, adverse effect, breakthrough pain, pain, myalgia",54.72%
2180,Ultravate,"Dermatitis, Eczema, Psoriasis",flare,71.04%
2181,Umeclidinium,"COPD, Maintenance",,86.40%
2182,Umeclidinium / vilanterol,"COPD, COPD, Maintenance","palpitation, anger, fall, shortness of breath, out of breath, pain, tremor, gasping for breath, wheezing",68.77%
2183,Undecylenic acid,"Not Listed / Othe, Tinea Corporis, Tinea Cruris",pain,62.80%
2184,Unisom SleepTabs,Insomnia,"sleepy, sleeplessness, anger, fall, headache, shortness of breath, nausea, tired, vomiting, groggy, ache, cough, pain, nausea and vomiting, drowsiness, Migraine",44.61%
2185,Unithroid,"Hashimoto's disease, Hypothyroidism, After Thyroid Removal",,46.96%
2186,Uptravi,Pulmonary Hypertension,"diarrhea, tired, headache, heartburn, pain, pulmonary arterial hypertension, ache",30.44%
2187,Urea,"Dermatological Disorders, Dry Skin","flare, pain, scratch",72.49%
2188,Uricalm,4 Dysuria,"crying, pain",52.14%
2189,Uroxatral,Benign Prostatic Hyperplasia,"scratch, tired, headache, Hyperplasia, Pain, difficulty, pain, constipation, stress, ache",43.46%
2190,Ursodiol,"Biliary Cirrhosis, Gallbladder Disease","biopsy, pain, surgery",58.00%
2191,Ustekinumab,"Crohn's Disease, Psoriasis, Psoriatic Arthritis","anger, tired, Psoriasis, sweat, blood test, excruciating pain, elation, overweight, pain, stress, Depression, ache, pustular psoriasis, Arthritis, scratch, tanning, nausea, bite, fatigue, weight gain, cough, vertigo, guttate psoriasis, worry, night sweat, flare, headache, Back pain, lethargy, redness",59.32%
2192,Vagifem,"4 Atrophic Urethritis, Atrophic Vaginitis","ovarian failure, diarrhea, headache, stuffy nose, uterine cancer, elation, weight gain, cough, pain, ache, hysterectomy",50.72%
2193,Vagistat-1,Vaginal Yeast Infection,swelling,37.37%
2194,Valacyclovir,"CMV Prophylaxis, Cold Sores, Herpes Simplex, Mucocutaneous/Immunocompetent Host, Herpes Simplex, Mucocutaneous/Immunocompromised Host, Herpes Simplex, Suppression, Herpes Zoste, Multiple Sclerosis, Ramsay Hunt Syndrome, Varicella-Zoste","sleepy, seizure, sleeplessness, anger, fall, tired, scab, vomiting, Stress, gag, oral herpes, ingrown hair, surgery, fever, numbness, lip blister, panic, lesion, elation, pain, burning sensation, nausea and vomiting, divorced, stress, tinnitus, ache, smoker, tanning, nausea, bite, wound, fatigue, nightmare, weight gain, terrify, retch, vertigo, dizziness, swelling, worry, chill, moody, flare, headache, birth control, pustule, herpes virus infection, redness",61.28%
2195,Valcyte,CMV Prophylaxis,pain,65.84%
2196,Valdecoxib,Pain,pain,85.00%
2197,Valproic acid,"Bipolar Disorde, Epilepsy, Mania, Migraine Prevention, Schizoaffective Disorde, Seizure Prevention, Seizures","mania, seizure, tired, ataxia, heartburn, constipation, Epilepsy, aggression, tremor, stress, aura, ache, Migraine, diarrhea, nausea, fatigue, weight gain, swelling, palpitation, weight fluctuation, dialysis",42.27%
2198,Valsartan,High Blood Pressure,"palpitation, anger, headache, shortness of breath, nausea, unwell, cough, pain, stiffness, stress, ache, surgery",36.74%
2199,Valtrex,Varicella-Zoste,,93.00%
2200,Valturna,High Blood Pressure,"pain, blood count, fatigue, diarrhea",44.32%
2201,Vanatrip,Insomnia,"fall, tired",45.50%
2202,Vancocin,Meningitis,"shunt infection, vomiting, Pneumonia",51.23%
2203,Vancomycin,"Bacterial Infection, Bone infection, Clostridial Infection, Methicillin-Resistant Staphylococcus Aureus Infection, Not Listed / Othe, Peritonitis, Pneumonia, Sepsis, Skin or Soft Tissue Infection","heartburn, surgery, numbness, clostridial infection, pain, adverse reaction, Pneumonia, ache, diarrhea, nausea, red man syndrome, bite, wound, nightmare, weepiness, dizziness, swelling, dizzy spells, homeless, headache, personality change, redness",48.83%
2204,Vaniqa,1 Hirsutism,"scratch, staring, fall, ache, nightmare, hirsutism, pain, ingrown hair",60.92%
2205,Vanoxide-HC,Acne,allergy to animal,73.38%
2206,Vardenafil,Erectile Dysfunction,"hypotension, fall, tired, heartburn, gag, surgery, stuffy nose, overweight, pain, stress, erectile dysfunction, vasectomy, aura, ache, massage, nausea, fatigue, difficulty, flushing, rale, worry, palpitation, frustration, rales, Nasal congestion, headache",63.21%
2207,Varenicline,"Not Listed / Othe, Smoking Cessation","sleepy, adverse effect, sleeplessness, anger, tired, constipation, Stress, sweat, gag, exhaustion, suicidal, surgery, illusion, panic, pain, adverse reaction, tremor, ache, unhappy, smoker, crying, nonsmoker, nausea, nightmare, weight gain, cough, difficulty, dizzy spells, worry, palpitation, withdraw, headache, debilitation, redness",64.23%
2208,Varubi,"Nausea/Vomiting, Chemotherapy Induced","nausea, vomiting",68.16%
2209,Vasodilan,Raynaud's Syndrome,,58.32%
2210,Vasotec,"Diabetic Kidney Disease, Left Ventricular Dysfunction","swelling, cough, dizziness",47.21%
2211,Vectibix,Colorectal Cance,,22.22%
2212,Vedolizumab,"Crohn's Disease, Ulcerative Colitis","Flushing, fever, diarrhea, chill, flare, fall, headache, nausea, fatigue, ache, colonoscopy, pain, constipation, flushing, Fatigue, surgery",31.70%
2213,Velcade,Multiple Myeloma,ache,72.82%
2214,Venlafaxine,"Anxiety, Anxiety and Stress, Bipolar Disorde, Bulimia, Depression, Dissociative Identity Disorde, Generalized Anxiety Disorde, Hot Flashes, Irritable Bowel Syndrome, Major Depressive Disorde, Migraine, Not Listed / Othe, Obsessive Compulsive Disorde, Panic Disorde, Post Traumatic Stress Disorde, Postpartum Depression, Premenstrual Dysphoric Disorde, Social Anxiety Disorde, Vulvodynia, ibromyalgia, m Pain Disorde","anger, fall, tired, vomiting, heartburn, exhaustion, fever, tunnel vision, nausea and vomiting, tremor, hot flush, diarrhea, unhappy, unable to concentrate, obsessive thoughts, drug abuser, wound, Anxiety, weight gain, fatigue, terrify, retch, difficulty, dizzy spells, trance, worry, cold sweat, alcoholic, Cold sweat, lightheadedness, personality change, hypomania, redness, mania, menopausal symptoms, sleeplessness, Paranoia, alcoholism, dysphoria, constipation, sweat, hunger, nervousness, drowsiness, suicidal, mastectomy, drug therapy, numbness, uterine cancer, excruciating pain, unwell, ache, bereavement, crying, hyperemesis gravidarum, swelling, negative thoughts, rale, Mood swings, hyperventilation, sleep paralysis, hormone therapy, groggy, Pain, postpartum depression, hyperemesis, seizure, muscle twitch, visual disturbance, Stress, gag, drug screen, anxiety disorder, stress at work, Dizziness, withdrawal syndrome, overweight, pain, burning sensation, adverse reaction, Depression, overdose, drug interaction, Headache, electric shock, tinnitus, Migraine, hangover, nausea, anhedonia, cough, vertigo, Insomnia, stiffness, feelings of worthlessness, underweight, withdraw, Feeling jittery, shortness of breath, Nausea, extreme exhaustion, lethargy, sleepy, scab, agitation, feeling drunk, staring, emotional distress, myalgia, panic, elation, screaming, dissociative identity disorder, stress, yawning, delusion, syncope, murder, nightmare, dizziness, Constipation, anorexia, malaise, homeless, chill, hysterectomy, moody, palpitation, Scar, spasm, night sweat, flare, headache, birth control, bedridden, Irritability, opiates",51.45%
2215,Verapamil,"Arrhythmia, Cluster Headaches, High Blood Pressure, Migraine Prevention, Supraventricular Tachycardia","nerve block, sleepy, anger, sinus pain, fall, tired, constipation, sweat, surgery, fever, hemiplegia, excruciating pain, elation, unwell, pain, stress, Headache, aura, ache, Migraine, hot flush, diarrhea, nausea, fatigue, nightmare, weight gain, cough, vertigo, dizziness, swelling, dizzy spells, Supraventricular tachycardia, palpitation, spasm, night sweat, headache, shortness of breath, lightheadedness, Pain, birth control, bedridden, redness",61.23%
2216,Vestura,"Acne, Birth Control, Menstrual Disorders",birth control,32.72%
2217,Viagra,"10 2 4 Erectile Dysfunction, Sexual Dysfunction, SSRI Induced","tired, heartburn, sweat, surgery, stress at work, stuffy nose, elation, pain, Erectile dysfunction, stress, divorced, erectile dysfunction, Headache, ache, massage, overwork, fatigue, weight gain, retch, flushing, snuffle, malaise, worry, frustration, Nasal congestion, alcoholic, headache",65.00%
2218,Vibramycin,"Acne, Bacterial Infection, Bronchitis, Skin or Soft Tissue Infection, Urinary Tract Infection","cough, wound, open wound",52.17%
2219,Vicks Dayquil Cold & Flu Relief,Sinus Symptoms,,73.60%
2220,Vicks Formula 44,Cough,,41.18%
2221,Vicks QlearQuil Nighttime Allergy Relief,Cold Symptoms,,-0.50%
2222,Vicodin ES,"Back Pain, Cough, Pain","numbness, cough, pain, constipation, swelling, intestinal obstruction, ache, surgery",61.39%
2223,Victrelis,Hepatitis C,Hepatitis,80.50%
2224,Vidaza,Myelodysplastic Syndrome,"transfusion, tired, fatigue, vomiting, Pain, Death, pain, constipation, adverse reaction",42.18%
2225,Viekira Pak,Hepatitis C,"Hepatitis, blood test, transfusion, fatigue, viral load",51.55%
2226,Viibryd,"1 1 1 2 2 4 6   Anxiety, Depression, Major Depressive Disorde","anger, fall, tired, vomiting, heartburn, exhaustion, surgery, fever, nausea and vomiting, tremor, Arthritis, diarrhea, obsessive thoughts, fatigue, drug tolerance, Anxiety, weight gain, terrify, retch, gastric bypass, difficulty, dizzy spells, worry, anorgasmia, redness, mania, adverse effect, sleeplessness, affective disorder, constipation, sweat, nervousness, drowsiness, suicidal, numbness, aggression, divorced, ache, crying, colonoscopy, swelling, negative thoughts, rale, sleep paralysis, groggy, stupor, seizure, muscle twitch, visual disturbance, Stress, depressive symptom, anxiety disorder, Fear, hoard, pain, adverse reaction, Depression, Headache, electric shock, tinnitus, nausea, vertigo, weepiness, Insomnia, frustration, withdraw, Nausea, lethargy, food craving, sleepy, Crying, Abnormal dreams, agitation, myalgia, panic, elation, screaming, stress, scratch, nightmare, dizziness, malaise, moody, stinging sensation, palpitation, Scar, spasm, night sweat, headache, hostility",46.52%
2227,Vilazodone,"Anxiety, Depression, Major Depressive Disorde, Not Listed / Othe, Obsessive Compulsive Disorde","sleepy, sleeplessness, anger, vomiting, heartburn, constipation, sweat, anxiety disorder, suicidal, numbness, panic, pain, tremor, erectile dysfunction, ache, hangover, diarrhea, crying, obsessive thoughts, nausea, fatigue, nightmare, weight gain, cough, vertigo, stiffness, flushing, malaise, moody, withdraw, flare, sleep paralysis, headache",41.05%
2228,Vimpat,Seizures,"sleepy, seizure, anger, fall, tired, constipation, Stress, surgery, Dizziness, Overdose, numbness, Epilepsy, Partial seizures, pain, tremor, Tremor, stress, aura, ache, Vomiting, crying, nausea, nightmare, weight gain, difficulty, dizziness, swelling, Constipation, headache, lightheadedness, complex partial seizures, lethargy",49.27%
2229,Vincasar PFS,Cance,,97.30%
2230,Vincristine,Multiple Myeloma,pain,34.30%
2231,Virtussin A / C,Cough,cough,-0.50%
2232,VisRx Dose Pack,Sinus Symptoms,"Cough, Asthma",73.33%
2233,Visine Original,Eye Redness,,92.50%
2234,Visine Totality Multi-Symptom Relief,Eye Redness/Itching,"pain, burning sensation, redness",25.10%
2235,Vistaril,"Allergic Urticaria, Allergies, Anxiety, Nausea/Vomiting, Pain, Sedation","sleepy, adverse effect, anger, fall, tired, vomiting, redness, hunger, drowsiness, anxiety disorder, suicidal, fever, stuffy nose, panic, pain, panic disorder with agoraphobia, nausea and vomiting, stress, autism, Depression, ache, hangover, unhappy, crying, nausea, fatigue, Anxiety, nightmare, weight gain, difficulty, Alcoholism, worry, palpitation, hyperventilation, withdraw, headache, groggy, opiates, increased appetite",41.99%
2236,Vitafol-OB+DHA,Vitamin/Mineral Supplementation during Pregnancy/Lactation,,69.40%
2237,Vitamin B2,Migraine Prevention,"headache, ache, diarrhea",44.27%
2238,Vitamin B6,Nausea/Vomiting,"nausea, drowsiness",76.50%
2239,Vitamin C,Dietary Supplementation,,94.00%
2240,Vitamin D2,Vitamin D Deficiency,"blood test, fall, Pain, difficulty, pain, surgery",72.55%
2241,Vitamin D3,Vitamin D Deficiency,pain,67.08%
2242,Vitamin e,"Dietary Supplementation, Nocturnal Leg Cramps, Tardive Dyskinesia",,26.31%
2243,Vitapap,Pain,,89.50%
2244,Vivactil,Depression,"suicidal, weight gain",67.01%
2245,Vivaglobin,Primary Immunodeficiency Syndrome,"swelling, redness",69.28%
2246,Vivarin,2   Hypersomnia,"amphetamines, hypersomnia, tired, elevated mood, pain",61.56%
2247,Vivelle,Postmenopausal Symptoms,"pain, night sweat, sweat, hysterectomy",74.07%
2248,Vivitrol,Alcohol Dependence,,71.63%
2249,Voltaren,"Ankylosing Spondylitis, Back Pain, Muscle Pain, Osteoarthritis, Pain, Period Pain, Rheumatoid Arthritis, Sciatica, zen Shoulde","sleepy, fall, piriformis syndrome, pain management, constipation, sweat, myalgia, surgery, arthroscopy, fever, sciatica, pain, adverse reaction, lung infection, ache, massage, diarrhea, nausea, retch, dizziness, swelling, stiffness, chill, tooth infection, liver function test, fibroma, autoimmune disorder, headache, low back pain",62.09%
2250,Voltaren Gel,"Osteoarthritis, Pain","nerve block, chronic fatigue syndrome, fall, acupuncture, pain management, sweat, myalgia, surgery, foot fracture, sciatica, pain, burning sensation, adverse reaction, x-ray, ache, joint injection, massage, Arthritis, crying, nausea, wrist surgery, wound, fatigue, retch, difficulty, swelling, stiffness, worry, chill, elderly, spasm, shooting pain, flare, headache, Pain",59.33%
