drugName,condition,Side_Effect,effectiveness
Prilosec OTC,"GERD, Indigestion","pain, worry, heartburn",69.32%
Primatene Mist,"Asthma, acute, COPD, Acute","rebound effect, numbness, headache, Asthma, ache, wheezing",66.01%
Primidone,"Benign Essential Trem, Seizures","Dizziness, seizure, adverse effect, fall, nausea, tired, fatigue, Tremor, Nausea, screaming, clumsiness, difficulty, dizziness, tremor, essential tremor, Headache, stiffness, ache, surgery, redness",41.80%
Pristiq,Depression,feeling hopeless,9.64%
Privine,Nasal Congestion,"rebound effect, stuffy nose",75.47%
Procardia,Raynaud's Syndrome,"ache, headache, palpitation, dizziness",53.57%
Procardia XL,High Blood Pressure,constipation,39.05%
Prochlorperazine,"Anxiety, Nausea/Vomiting","fall, tired, out of breath, vomiting, moan, sweat, agitation, drowsiness, surgery, fever, panic, pain, paresis, nausea and vomiting, stress, ache, diarrhea, crying, nausea, dizziness, Colitis, pain foot, moaning, headache, groggy, Nausea",37.83%
Proctofoam,"Hemorrhoids, Pain","pain, flare, swelling, surgery",69.20%
Proctofoam HC,Hemorrhoids,"colonoscopy, pain, burning sensation",67.99%
Proctosol-HC,Hemorrhoids,"anger, pain",74.45%
Procyclidine,"Extrapyramidal Reaction, Parkinsonism","panic, spasm, stress",40.62%
Prodrin,Headache,"headache, pain, seizure, ache",63.67%
Progesterone,"Amenorrhea, Endometrial Hyperplasia, Prophylaxis, Endometriosis, Perimenopausal Symptoms, Premature Lab, Progesterone Insufficiency, Seizures, Uterine Bleeding","sleepy, seizure, anger, fall, tired, vomiting, sweat, hunger, drowsiness, fever, blood test, numbness, panic, traction, pain, overdose, ache, nausea, fatigue, weight gain, dizziness, delivery, night sweat, headache, birth control, redness",52.06%
Prolia,Osteoporosis,"bone density increased, fall, tired, monoclonal, Rash, sweat, myalgia, exhaustion, blood blister, fever, numbness, sciatica, osteopenia, traction, pain, Headache, ache, nausea, fatigue, nightmare, cough, Insomnia, swelling, stiffness, Constipation, chill, spasm, shooting pain, headache, shortness of breath, Pain, red blotches, redness",25.14%
Promethazine,"Allergic Reactions, Allergic Rhinitis, Light Sedation, Motion Sickness, Nausea/Vomiting, Not Listed / Othe, Opiate Adjunct, Sedation, Vertig","sleepy, sleeplessness, anger, enteral nutrition, fall, tired, vomiting, constipation, hunger, agitation, surgery, drowsiness, mastectomy, panic, pain, nausea and vomiting, kidney infection, stress, prophylaxis, tinnitus, ache, Migraine, Vomiting, bone infection, nausea, nightmare, cough, colonoscopy, vertigo, dizziness, oral surgery, worry, palpitation, frustration, spasm, withdraw, headache, groggy, Pain, opiates",60.14%
Propafenone,"Atrial Fibrillation, Not Listed / Othe, Ventricular Tachycardia","massage, Tachycardia, sleepy, bradycardia, sinus rhythm, Atrial fibrillation, tired, ache, difficulty, stress, cardioversion",58.25%
Propecia,Androgenetic Alopecia,"dizziness, fall, ache, brain damage",40.80%
Propofol,"Anesthesia, Not Listed / Othe","debridement, intubation, nerve block, sleepy, seizure, fall, tired, vomiting, endoscopy, pain management, sigmoidoscopy, endometrial ablation, projectile vomiting, biopsy, drool, gag, myalgia, surgery, drowsiness, fever, numbness, Sneezing, stuffy nose, panic, umbilical hernia repair, screaming, traction, pain, burning sensation, adverse reaction, stress, Headache, Chills, aura, nausea and vomiting, hernia repair, incoherent, Surgery, ache, oxygen saturation, hangover, circumcision, crying, nausea, wound, fatigue, nightmare, retch, cough, colonoscopy, difficulty, dizziness, frail, worry, wisdom teeth removal, palpitation, Scar, bronchoscopy, spasm, stinging sensation, headache, tooth extraction, sleep talking, Pain, groggy, lithotripsy, sneeze, lethargy, stupor",59.75%
Propoxyphene,Pain,"pain, ache",62.17%
Propranolol,"Anxiety, Arrhythmia, Benign Essential Trem, Hemangioma, High Blood Pressure, Migraine Prevention, Mitral Valve Prolapse, Not Listed / Othe, Panic Disorde, Pe, Portal Hypertension, Thyrotoxicosis, Ventricular Tachycardia, mance Anxiety","sleepy, chest tightness, seizure, hypotension, anger, fall, tired, vomiting, constipation, Stress, depressive symptom, sweat, agitation, nervousness, hunger, staring, Fatigue, gag, anxiety disorder, surgery, Anxiety disorder, Fear, fever, Dizziness, blood test, numbness, drowsiness, suicidal, choke, panic, excruciating pain, elation, screaming, overweight, traction, pain, tremor, stress, essential tremor, social phobia, overdose, erectile dysfunction, Tremor, Headache, Migraine, aura, wheezing, Vomiting, ache, diarrhea, Hypertension, crying, nausea, wound, Anxiety, nightmare, weight gain, fatigue, cough, difficulty, vertigo, retch, dizziness, swelling, flushing, general discomfort, negative thoughts, delivery, rale, diagnostic procedure, worry, cold sweat, palpitation, hyperventilation, flare, gliosis, headache, shortness of breath, dry throat, cranioplasty, redness",61.30%
Provenge,Prostate Cance,pain,60.18%
Provera," Abnormal Uterine Bleeding, Amenorrhea, Birth Control, Endometriosis","anger, fall, tired, biopsy, surgery, ovarian failure, transfusion, Ovarian failure, pregnancy test, traction, pain, stress, ache, diarrhea, crying, nausea, fatigue, nightmare, weight gain, hysterectomy, shooting pain, headache, shortness of breath, birth control, red blotches",37.24%
Pseudoephedrine,"Nasal Congestion, Not Listed / Othe","fever, anger, ear congestion, headache, panic, ache, cough, bedridden, pain, sweat, drowsiness, surgery",54.33%
Pseudoephedrine / triprolidine,"Allergic Rhinitis, Cold Symptoms","swelling, multiple allergies, dizziness",68.23%
Psoriasin,"Dermatitis, Psoriasis","massage, pain, flare",59.07%
Pulmicort Flexhaler,"Asthma, Maintenance","swelling, pain, numbness",50.05%
Pulmicort Turbuhaler,"Asthma, Maintenance","headache, cough, difficulty, pain, ache",44.87%
Pylera,Helicobacter Pylori Infection,"nerve block, asymptomatic, fall, tired, Crying, vomiting, endoscopy, constipation, agitation, biopsy, fever, Dizziness, numbness, Tic, panic, pain, stress, Headache, paresthesia, ache, diarrhea, crying, nausea, fatigue, nightmare, colonoscopy, difficulty, dizziness, malaise, chill, spasm, headache, Pain, Nausea",42.57%
Pyridostigmine,"Dysautonomia, Myasthenia Gravis, Not Listed / Othe","Dystonia, asthenia, diarrhea, paresis",60.13%
QNASL,Allergic Rhinitis,surgery,58.32%
Qsymia,"Obesity, Weight Loss","food craving, sleepy, sleeplessness, anger, fall, tired, heartburn, constipation, sweat, agitation, hunger, biopsy, nervousness, exhaustion, surgery, drowsiness, suicidal, fever, blood test, numbness, starvation, panic, overweight, Hunger, pain, stress, snoring, ache, Migraine, diarrhea, delusion, smoker, nausea, bite, wound, fatigue, weight gain, cough, gastric bypass, binge eating, Insomnia, dizziness, difficulty, sedentary, Constipation, delivery, worry, chill, moody, palpitation, frustration, elderly, spasm, night sweat, withdraw, flare, headache, shortness of breath, Hypothyroidism, po2, hostility, lightheadedness, Fall, insulin resistance, lethargy, redness",57.92%
Qualaquin,Nocturnal Leg Cramps,cough,60.46%
Quazepam,"Insomnia, Not Listed / Othe","cold sweat, sweat, nightmare",69.18%
Questran Light,Crohn's Disease,adverse reaction,67.56%
Quetiapine,"Bipolar Disorde, Borderline Personality Disorde, Depression, Generalized Anxiety Disorde, Insomnia, Intermittent Explosive Disorde, Major Depressive Disorde, Not Listed / Othe, Obsessive Compulsive Disorde, Paranoid Disorde, Post Traumatic Stress Disorde, Schizoaffective Disorde, Schizophrenia","anger, fall, tired, blood count, heartburn, exhaustion, surgery, scar tissue, tremor, social phobia, unhappy, obsessive thoughts, fatigue, Anxiety, blackout, weight gain, terrify, gastric bypass, difficulty, worry, cold sweat, hypomania, redness, increased appetite, mania, adverse effect, hypotension, compulsions, alcoholism, constipation, sweat, hunger, drowsiness, suicidal, dental care, aggression, ache, crying, feeling guilty, swelling, rale, Mood swings, sleep paralysis, groggy, postpartum depression, stupor, seizure, Stress, anxiety disorder, Autism, abnormal dreams, overweight, pain, Depression, overdose, tinnitus, hangover, hypersomnia, fear of weight gain, nausea, cough, vertigo, Insomnia, underweight, withdraw, shortness of breath, lethargy, Delusion, food craving, sleepy, agitation, staring, myalgia, panic, elevated mood, elation, intermittent explosive disorder, screaming, stress, massage, delusion, paralyse, nightmare, dizziness, anorexia, homeless, chill, hysterectomy, moody, palpitation, flare, headache",54.64%
Quinapril,High Blood Pressure,"smoker, tired, headache, cough, sweat, ache",31.48%
Quinidine,Arrhythmia,"tired, diarrhea",52.75%
Quinine,Nocturnal Leg Cramps,"diarrhea, numbness, excruciating pain, retch, unwell, pain, worry",59.03%
Rabeprazole,"Barrett's Esophagus, Duodenal Ulce, Erosive Esophagitis, GERD, Helicobacter Pylori Infection, Stomach Ulce","chest tightness, diarrhea, numbness, tired, headache, panic, vomiting, heartburn, pain, dizziness, biopsy, ache",64.94%
"Rabies vaccine, human diploid cell",Rabies Prophylaxis,"tired, pain, wound",69.80%
Racepinephrine,"Asthma, acute","headache, shortness of breath, cough, ache, Cough",47.91%
Raloxifene,"Breast Cancer, Prevention, Osteoporosis, Prevention of Osteoporosis","osteopenia, nausea, pain",65.51%
Raltegravir,HIV Infection,"blood test, tired, headache, pain, viral load, ache",65.15%
Ramelteon,Insomnia,"sleepy, fall, tired, nervousness, staring, drowsiness, anxiety disorder, delayed sleep phase, tunnel vision, pain, stress, ache, hangover, diarrhea, nausea, nightmare, weight gain, difficulty, vertigo, Insomnia, Scar, sleep paralysis, headache, groggy, redness",33.89%
Ramipril,"Cardiovascular Risk Reduction, Diabetic Kidney Disease, Heart Failure, High Blood Pressure","blood test, diarrhea, night sweat, haemodialysis, headache, tired, panic, ache, cough, overweight, pain, gag, sweat, swelling, flushing, tinnitus, electric shock, myalgia, dialysis, redness",46.45%
Ranexa,Angina,"chest tightness, palpitation, blood test, diarrhea, spasm, neuropathic pain, shortness of breath, nausea, weight gain, heartburn, pain, constipation, dizziness, swelling, stress, Constipation, dizzy spells, ache, surgery",54.72%
Ranitidine,"Duodenal Ulce, Eczema, Erosive Esophagitis, GERD, Gastric Ulcer Maintenance Treatment, Indigestion, Not Listed / Othe, Pathological Hypersecretory Conditions, Stomach Ulce","fall, tired, vomiting, endoscopy, heartburn, constipation, Rash, throat sore, nervousness, drowsiness, surgery, blood test, panic, elation, pain, burning sensation, paresis, stress, ache, amphetamines, diarrhea, nausea, cough, dizziness, chill, palpitation, spasm, withdraw, flare, headache",56.30%
Ranolazine,Angina,"headache, shortness of breath, pain, constipation, stiffness, dizziness, ache",44.41%
Rasagiline,Parkinson's Disease,"fall, surgery",48.49%
Raspberry,Diarrhea,diarrhea,69.82%
Rebif,Multiple Sclerosis,"Cardiomyopathy, fever, numbness, fall, headache, nausea, fatigue, tired, lesion, retch, unwell, pain, dizziness, tremor, ache, worry, chill",54.67%
Reclast,"Osteoporosis, Prevention of Osteoporosis","fever, diarrhea, chill, anger, headache, nausea, fatigue, ache, vomiting, weight gain, osteopenia, difficulty, pain, sweat, stress, Osteonecrosis, myalgia, dialysis, surgery, redness",42.71%
Reclipsen,1 Birth Control,"adverse effect, fall, tired, vomiting, no adverse effect, surgery, suicidal, unwanted pregnancy, fever, Embolism, scar tissue, panic, elation, overweight, pain, Depression, ache, crying, nausea, wound, fatigue, nightmare, weight gain, dizziness, moody, flare, headache, shortness of breath, birth control, increased appetite",42.56%
Refresh Liquigel,Dry Eye Disease,"pain, surgery",9.50%
Regadenoson,Not Listed / Othe,stress,74.71%
Relpax, Migraine,"sleepy, heavy feeling, tired, headache, nausea, vomiting, nightmare, difficulty, pain, stress, ache, Migraine",65.34%
Remeron,"1 1 3 3 4 7 Anxiety, Depression, Hot Flashes, Insomnia, Major Depressive Disorde","sleepy, adverse effect, sleeplessness, anger, fall, tired, vomiting, constipation, sweat, hunger, abnormal weight gain, staring, myalgia, surgery, drowsiness, suicidal, exhaustion, fever, numbness, panic, elation, screaming, overweight, pain, burning sensation, tremor, stress, Depression, ache, hangover, unable to concentrate, crying, obsessive thoughts, nausea, fatigue, Anxiety, nightmare, weight gain, Insomnia, swelling, Constipation, underweight, withdraw, headache, sleep talking, groggy, anorgasmia, insulin resistance, increased appetite",55.79%
Remodulin,Pulmonary Hypertension,"cough, nausea, pain, dizziness",25.75%
Renvela,Hyperphosphatemia of Renal Failure,"nausea, weight gain",22.89%
Repatha,"High Cholesterol, High Cholesterol, Familial Heterozygous, High Cholesterol, Familial Homozygous","fall, tired, myalgia, Fatigue, surgery, side pain, pain, burning sensation, electric shock, ache, diarrhea, nausea, fatigue, swelling, malaise, stinging sensation, spasm, headache, shortness of breath, low back pain, red blotches",41.75%
Reprexain,Pain,"compression fracture, headache, pain, ache, surgery",69.06%
Requip," Parkinson's Disease, Periodic Limb Movement Disorde, Restless Legs Syndrome","sleepy, anger, fall, tired, acupuncture, vomiting, clonus, gag, drowsiness, suicidal, elation, pain, nausea and vomiting, ache, Vomiting, yawning, nausea, fatigue, nightmare, retch, colonoscopy, dizziness, flushing, chill, spasm, withdraw, headache, groggy, Pain, compulsive shopping, periodic limb movement disorder, sleep attacks, dialysis, redness",45.43%
Reserpine,High Blood Pressure,labile hypertension,73.76%
Retisert,Uveitis,"pain, surgery, Uveitis",70.74%
Retre-Gel,Cold Sores,lesion,68.80%
Revia,"Alcohol Dependence, Opiate Dependence","withdraw, alcoholic, impulsive behaviour, lethargy, opiates",69.48%
Rexulti,"4  Depression, Major Depressive Disorde, Schizophrenia","sleepy, adverse effect, anger, fall, tired, Crying, vomiting, redness, depressed mood, sweat, agitation, hunger, staring, exhaustion, drowsiness, suicidal, Autism, numbness, panic, elation, pain, adverse reaction, Depression, ache, diarrhea, delusion, crying, nightmare, weight gain, terrify, cough, dizziness, Mood swings, moody, Scar, headache, shortness of breath, groggy, birth control, lethargy, increased appetite",47.24%
Rezira, Cough and Nasal Congestion,"cough, headache, ache",67.86%
Rhinocort Aqua,Allergic Rhinitis,"flare, stuffy nose, fatigue, Pain",41.65%
Rho (d) immune globulin,Idiopathic Thrombocytopenic Purpura,fall,25.90%
Rhofade,Rosacea,"flushing, redness",23.35%
Ribavirin,Hepatitis C,fatigue,73.30%
Riboflavin,Headache,"headache, ache",14.00%
Rifabutin,"Mycobacterium avium-intracellulare, Treatment",tired,10.50%
Rifampin,"Bartonellosis, Mycobacterium avium-intracellulare, Treatment, Nasal Carriage of Staphylococcus aureus, Tuberculosis, Latent, Tuberculosis, Prophylaxis","Arthritis, fever, diarrhea, side pain, headache, nausea, fatigue, vomiting, lethargy, pain, nausea and vomiting, dizziness, sweat, hepatic enzyme, ache, worry, chill",53.03%
Rifaximin,"Hepatic Encephalopathy, Irritable Bowel Syndrome, Traveler's Diarrhea","diarrhea, spasm, Abdominal pain, tired, pain, constipation, anal fungal infection, aura, worry",54.52%
Rilutek,Obsessive Compulsive Disorde,"obsessive thoughts, Autism, compulsions",70.04%
Riluzole,"Amyotrophic Lateral Sclerosis, Obsessive Compulsive Disorde","tired, stress",52.59%
Risedronate,"Osteoporosis, Paget's Disease, Prevention of Osteoporosis","spasm, diarrhea, tired, excruciating pain, pain, burning sensation, abdominal tenderness, stiffness, ache, redness",31.27%
Risperdal,"  Asperger Syndrome, Autism, Bipolar Disorde, Borderline Personality Disorde, Depression, Head Injury, Mania, Nightmares, Paranoid Disorde, Post Traumatic Stress Disorde, Schizoaffective Disorde, Schizophrenia, Social Anxiety Disorde","mania, sleepy, Schizophrenia, seizure, anger, tired, affective disorder, brain damage, agitation, hunger, staring, surgery, suicidal, Autism, sciatica, panic, elation, aggression, overweight, Agitation, pain, tremor, stress, autism, Depression, unhappy, delusion, crying, fatigue, Anxiety, nightmare, weight gain, terrify, gastric bypass, difficulty, stiffness, worry, underweight, moody, palpitation, frustration, spasm, withdraw, flare, anorgasmia, hypomania, postpartum depression, suspiciousness",46.77%
Risperdal M-Tab,"Asperger Syndrome, Bipolar Disorde, Depression, Schizoaffective Disorde","weight gain, nightmare, drowsiness, elation",54.98%
Risperidone,"Agitation, Anxiety, Asperger Syndrome, Autism, Bipolar Disorde, Borderline Personality Disorde, Depression, Head Injury, Not Listed / Othe, Paranoid Disorde, Post Traumatic Stress Disorde, Schizoaffective Disorde, Schizophrenia, Severe Mood Dysregulation, Social Anxiety Disorde, Tic Disorde","mania, sleepy, seizure, Akathisia, adverse effect, anger, fall, tired, Paranoia, Crying, vomiting, sweat, agitation, hunger, drool, gag, staring, drowsiness, suicidal, fever, numbness, starvation, sciatica, stuffy nose, panic, elation, aggression, screaming, learning disability, overweight, pain, tremor, stress, autism, overdose, ache, Migraine, Dyskinesia, delusion, obsessive thoughts, fatigue, nightmare, weight gain, terrify, retch, difficulty, vertigo, dizziness, anorexia, trance, worry, chill, frustration, spasm, withdraw, flare, headache, groggy, struck by lightning, hypomania, increased appetite",44.38%
Ritalin,"1 2   9 ADHD, Depression, Narcolepsy","mania, sleepy, fall, tired, sweat, gag, myalgia, surgery, panic, pain, tremor, stress, ache, diarrhea, crying, fatigue, nightmare, difficulty, swelling, underweight, moody, withdraw, headache, groggy, birth control, Nausea, Disability",56.08%
Ritalin LA,ADHD,"fall, sexual abuse, laziness",67.78%
Rituxan,"Chronic Lymphocytic Leukemia, Non-Hodgkin's Lymphoma, Pemphigus, Rheumatoid Arthritis, cal Segmental Glomerulosclerosis","fall, nausea, Lymphoma, pain, welt",59.40%
Rituximab,"Bullous Pemphigoid, Chronic Lymphocytic Leukemia, Microscopic polyangiitis, Non-Hodgkin's Lymphoma, Pemphigoid, Rheumatoid Arthritis, Wegener's Granulomatosis, cal Segmental Glomerulosclerosis","fall, tired, Lymphoma, vomiting, redness, apheresis, sweat, biopsy, surgery, fever, rheumatoid vasculitis, plasmapheresis, pain, acquired haemophilia, hip surgery, ache, Arthritis, nausea, fatigue, cough, difficulty, dizziness, sedentary, chill, cold sweat, palpitation, night sweat, flare, headache, shortness of breath, Back pain, glomerulosclerosis",56.74%
Rivaroxaban,"Deep Vein Thrombosis, Deep Vein Thrombosis, Recurrent Event, Pulmonary Embolism","blood test, anger, headache, Tinnitus, fatigue, nightmare, pain, dizziness, swelling, tinnitus, ache",32.95%
Rivastigmine,"Alzheimer's Disease, Parkinson's Disease","delusion, fall, headache, nausea, pain, sweat, agitation, ache",46.13%
Rizatriptan,"Migraine, Not Listed / Othe","massage, sleepy, hangover, yawning, surgery, tired, headache, acupuncture, nausea, ache, vomiting, groggy, pain, stress, aura, drowsiness, Migraine",66.20%
Robitussin Cough + Chest Congestion DM,Cough,cough,77.65%
Robitussin CoughGels Long-Acting,Cough,"cough, Cough",45.42%
Rocuronium,Anesthesia,"pain, Surgery",43.10%
Roflumilast,COPD,"anger, shortness of breath",64.00%
Rogaine,5 Alopecia,"thicken, stiffness, nightmare, stress",44.26%
Rogaine Women's,Alopecia,"fall, nausea",60.93%
Ropinirole,"Not Listed / Othe, Periodic Limb Movement Disorde, Restless Legs Syndrome","sleepy, anger, fall, tired, out of breath, compulsions, vomiting, sweat, agitation, drowsiness, surgery, panic, lesion, overweight, pain, nausea and vomiting, aura, ache, gambling, nausea, fatigue, drug tolerance, nightmare, colonoscopy, gastric bypass, binge eating, dizziness, difficulty, swelling, malaise, cold sweat, palpitation, spasm, dystonia, headache, Nausea",46.94%
Rosuvastatin,"High Cholesterol, High Cholesterol, Familial Heterozygous, Not Listed / Othe","palpitation, angioplasty, Pain, pain, rale, ache",50.00%
Rotigotine,"Parkinson's Disease, Restless Legs Syndrome","rebound effect, sleepy, Dyskinesia, diarrhea, open wound, fall, headache, nausea, wound, nightmare, groggy, difficulty, tremor, overdose, ache",55.64%
Rowasa,"Ulcerative Colitis, Ulcerative Colitis, Active","nausea, flare",51.25%
Roxicodone,"Chronic Pain, Pain","liver function test, withdraw, Injury, breakthrough pain, compression fracture, fall, tired, sciatica, ache, groggy, Pain, gastric bypass, pain management, pain, constipation, paresis, stress, myalgia, surgery",66.46%
Roxicodone Intensol,"Chronic Pain, Pain","pain, starvation, throat cancer",76.12%
Royal jelly,Herbal Supplementation,"tired, headache, ache",77.43%
Rufinamide,Lennox-Gastaut Syndrome,"cough, drop attacks, seizure",73.43%
Ruxolitinib,"Myelofibrosis, Polycythemia Vera","transfusion, headache, fatigue, weight gain, pain, ache",43.55%
Rydapt,Systemic Mastocytosis,systemic mastocytosis,54.93%
Rynatan,"Allergic Rhinitis, Cold Symptoms","headache, ache",76.81%
Rytary,Parkinson's Disease,"seizure, chill, sleeplessness, dystonia, nausea, elation, vomiting, screaming, pain, nausea and vomiting, sweat, stress, delivery, surgery",31.78%
Rythmol,Atrial Fibrillation,anger,39.80%
Rythmol SR,"Atrial Fibrillation, Ventricular Tachycardia","sinus rhythm, Atrial fibrillation, fatigue, constipation, dizziness, cardioversion",61.64%
Ryzolt,"Back Pain, Chronic Pain, Pain","pain, drowsiness",51.04%
S-adenosylmethionine,"Depression, Herbal Supplementation, Not Listed / Othe, Osteoarthritis","sleeplessness, vomiting, pain, dizziness, sweat",51.27%
SMZ-TMP DS,"Acne, Kidney Infections, Prostatitis, Upper Respiratory Tract Infection, Urinary Tract Infection","fever, diarrhea, numbness, fall, headache, bite, shortness of breath, nausea, vomiting, Pain, pain, sweat, kidney infection, drug interaction, ache, chill",31.95%
Saccharomyces boulardii lyo,Diarrhea,"nausea, pain",49.00%
Saizen,Adult Human Growth Hormone Deficiency,"pain, blood test",66.90%
Saliva substitutes,"Mucositis, Xerostomia",pain,51.01%
Salmeterol,"Asthma, Maintenance, COPD, Maintenance","palpitation, cough, tremor, nervousness, overdose, wheezing",34.94%
Salofalk,"Crohn's Disease, Maintenance, Ulcerative Colitis, Ulcerative Colitis, Active, Ulcerative Colitis, Maintenance","flare, stress",59.36%
Salonpas Pain Patch,"Muscle Pain, Osteoarthritis","fall, pain, swelling, pain back",39.41%
Salsalate,"Osteoarthritis, Rheumatoid Arthritis","pain, stiffness, swelling",48.71%
Sanctura,"Interstitial Cystitis, Overactive Bladde, Urinary Incontinence","fatigue, constipation, stress, worry, suicidal",58.04%
Sanctura XR,"Interstitial Cystitis, Overactive Bladde, Urinary Incontinence","pain, spasm",67.38%
Sansert,"Cluster Headaches, Migraine","headache, ache",65.93%
Saphris,"1 1 1  Bipolar Disorde, Post Traumatic Stress Disorde, Schizoaffective Disorde, Schizophrenia","mania, sleepy, Schizophrenia, seizure, anger, fall, tired, affective disorder, vomiting, moan, constipation, Stress, catatonia, depressive symptom, agitation, drool, hunger, gag, anxiety disorder, drowsiness, suicidal, Dizziness, numbness, panic, hoard, aggression, screaming, overweight, Drooling, pain, tremor, stress, Depression, Flat affect, Anger, aura, nausea and vomiting, incoherent, ache, hangover, diarrhea, unhappy, delusion, nausea, bite, Anxiety, anhedonia, nightmare, weight gain, difficulty, dizziness, stiffness, anorexia, Mania, Mood swings, worry, moody, spasm, withdraw, moaning, alcoholic, headache, groggy, hypomania, increased appetite",55.30%
Sarafem,Premenstrual Dysphoric Disorde,"sleeplessness, anger, crying, tired, panic, fatigue, elation, weight gain, redness, difficulty, Insomnia, moody",61.84%
Savella,"  Reflex Sympathetic Dystrophy Syndrome, ibromyalgia","mania, sleepy, seizure, sleeplessness, fall, tired, vomiting, pain management, constipation, sweat, agitation, hunger, myalgia, exhaustion, surgery, suicidal, stress at work, fever, Dizziness, sciatica, panic, excruciating pain, withdrawal syndrome, aggression, traction, pain, burning sensation, tremor, Serotonin syndrome, stress, Headache, drug interaction, nausea and vomiting, ache, massage, Decreased appetite, diarrhea, crying, nausea, fatigue, Anxiety, nightmare, weight gain, terrify, arthralgia, difficulty, retch, dizziness, swelling, stiffness, Constipation, dizzy spells, pain back, flushing, worry, chill, cold sweat, palpitation, fibroma, spasm, night sweat, withdraw, flare, Disorientation, headache, hostility, Pain, Nausea, lightheadedness, groggy, sneeze, energy increased, redness",48.91%
Saw palmetto,"Benign Prostatic Hyperplasia, Overactive Bladde",pain,37.99%
Saxagliptin,"Diabetes, Type 2","fever, headache, nightmare, pain, stress, ache, chill",50.39%
Scopolamine,"Motion Sickness, Nausea/Vomiting, Parkinsonian Trem","rebound effect, sleepy, withdraw, adverse effect, anger, fall, headache, nausea, vomiting, Nausea, pain, nausea and vomiting, dizziness, room spinning, ache, exhaustion, worry, surgery",48.35%
Seasonique,"  2       Abnormal Uterine Bleeding, Birth Control, Endometriosis, Ovarian Cysts, Polycystic Ovary Syndrome","sleepy, fall, tired, vomiting, constipation, sweat, Menorrhagia, exhaustion, anxiety disorder, surgery, suicidal, blood test, panic, elation, pregnancy test, screaming, overweight, traction, pain, burning sensation, stress, Headache, heavy feeling, ache, diarrhea, unhappy, crying, nausea, fatigue, weight gain, difficulty, dizziness, swelling, worry, moody, palpitation, spasm, night sweat, shooting pain, flare, headache, shortness of breath, birth control, Irritability, lethargy, postpartum depression, increased appetite",39.68%
Secobarbital,"Insomnia, Light Sedation","panic, withdraw",78.61%
Secukinumab,Plaque Psoriasis,staring,42.35%
Selegiline,"ADHD, Depression, Parkinson's Disease","mania, daydreaming, fall, fatigue, lethargy, suicidal, boredom",68.82%
Selenium sulfide,"Seborrheic Dermatitis, Tinea Versicol",sweat,56.34%
Selexipag,Pulmonary Hypertension,"pain, dizziness",32.92%
Selsun Blue,Tinea Versicol,pain,43.00%
Senexon,Constipation,"pain, constipation",42.15%
Senna,"Bowel Preparation, Constipation","diarrhea, crying, nausea, heartburn, Pain, unwell, pain, constipation",47.58%
Senna Lax,Constipation,pain,1.50%
Senna Plus,"Constipation, Acute","pain, flatulence",69.32%
Senokot,"Bowel Preparation, Constipation","diarrhea, nausea, pain, constipation, sweat, ache",34.64%
Senokot S,"Constipation, Acute","pain, constipation",69.78%
Septra,"Acne, Bacterial Infection, Bacterial Skin Infection, Bronchitis, Kidney Infections, Urinary Tract Infection","tired, headache, nausea, fatigue, vomiting, Nausea, vertigo, pain, kidney infection, ache",47.38%
Septra DS,"Bacterial Infection, Bacterial Skin Infection, Kidney Infections, Otitis Media, Prostatitis, Sinusitis, Upper Respiratory Tract Infection, Urinary Tract Infection","fever, Infection, nausea, kidney infection, vomiting, cough, pain, Pneumonia, ache",44.73%
Seroquel,"1 2 2 3     Bipolar Disorde, Borderline Personality Disorde, Depression, Generalized Anxiety Disorde, Insomnia, Obsessive Compulsive Disorde, Paranoid Disorde, Post Traumatic Stress Disorde, Schizoaffective Disorde, Schizophrenia","mania, dependence, sleepy, seizure, hypotension, sleeplessness, anger, fall, tired, compulsions, affective disorder, mental disorder, vomiting, redness, constipation, sweat, depressive symptom, agitation, drool, hunger, sudden death, Fatigue, feeling drunk, myalgia, anxiety disorder, drowsiness, social problem, tearfulness, suicidal, exhaustion, panic, elation, Major depression, screaming, pain, tremor, stress, Depression, essential tremor, ache, hangover, scratch, delusion, crying, obsessive thoughts, nausea, wound, fatigue, blackout, nightmare, weight gain, retch, difficulty, binge eating, Insomnia, dizziness, anorexia, rale, worry, chill, drowning, moody, spasm, withdraw, sleep paralysis, alcoholic, headache, groggy, gag, hypomania, extreme exhaustion, opiates, increased appetite",53.22%
Seroquel XR," Bipolar Disorde, Depression, Generalized Anxiety Disorde, Insomnia, Major Depressive Disorde, Obsessive Compulsive Disorde, Paranoid Disorde, Post Traumatic Stress Disorde, Schizoaffective Disorde, Schizophrenia","mania, Bipolar I disorder, sleepy, anger, fall, tired, out of breath, affective disorder, redness, Thirst, Stress, depressive symptom, sweat, agitation, drool, hunger, anxiety disorder, drowsiness, suicidal, panic, elevated mood, elation, screaming, overweight, pain, stress, Depression, ache, hangover, diarrhea, delusion, crying, fatigue, Anxiety, nightmare, weight gain, dizziness, swelling, Constipation, Mood swings, chill, withdraw, headache, lightheadedness, groggy, hypomania, lethargy, Delusion, increased appetite",54.22%
